Ссылка,Комнаты,Кв. метрыАдрес,Цена,Цена за кв.м
krisha.kz/a/show/694709091,2-комнатная квартира,69.86,"Нура р-н, Туран 41 — Сыганак",от 41 217 400 〒,590000.00
krisha.kz/a/show/694708591,3-комнатная квартира,75.51,"Есильский р-н, ​Аль-Фараби 3",от 44 097 840 〒,584000.00
krisha.kz/a/show/689193276,2-комнатная квартира,64.6,"Есильский р-н, Мангилик Ел — Т. Рыскулова",от 39 147 600 〒,606000.00
krisha.kz/a/show/684477661,1-комнатная квартира,35.79,"Нура р-н, Е-429 14",от 13 421 250 〒,375000.00
krisha.kz/a/show/697461122,1-комнатная квартира,41,"Нура р-н, Розы Баглановой — Туран",22 200 000 〒,541463.41
krisha.kz/a/show/697588076,1-комнатная квартира,41,"Алматы р-н, Ахмет Байтурсынулы 14/3",20 000 000 〒,487804.88
krisha.kz/a/show/696678538,2-комнатная квартира,44,"Есильский р-н, КерейЖанибекхандар 40",31 500 000 〒,715909.09
krisha.kz/a/show/696651298,3-комнатная квартира,104,"Нура р-н, Туран 50/5 — Бухар Жырау",66 000 000 〒,634615.38
krisha.kz/a/show/689592280,2-комнатная квартира,38,"Есильский р-н, Улы Дала 33 — Полностью с мебелью",25 500 000 〒,671052.63
krisha.kz/a/show/688103604,3-комнатная квартира,83,"Алматы р-н, Байтурсынова 2 — Казахский драматический театр",48 500 000 〒,584337.35
krisha.kz/a/show/694710366,2-комнатная квартира,78.49,"Есильский р-н, Динмухамед Конаев 3",от 55 727 900 〒,710000.00
krisha.kz/a/show/698101554,4-комнатная квартира,148,"р-н Байконур, Бараева — пррспект Республика",53 000 000 〒,358108.11
krisha.kz/a/show/697448397,4-комнатная квартира,145,"Нура р-н, Улы Дала 29/1",120 000 000 〒,827586.21
krisha.kz/a/show/697303424,1-комнатная квартира,39,"Алматы р-н, Иле 30",16 500 000 〒,423076.92
krisha.kz/a/show/697606214,1-комнатная квартира,45,"Алматы р-н, К. Аманжолова 28/2 — Нажимеденова",24 000 000 〒,533333.33
krisha.kz/a/show/697231307,2-комнатная квартира,39.5,"Нура р-н, Илияс Омаров 12/1",24 000 000 〒,607594.94
krisha.kz/a/show/696806419,3-комнатная квартира,60,"Сарыарка р-н, Конституции 12/1 — Ипотека любого банка, ЖД колледж, Транспорта и коммуникаций, Колледж сервиса и туризма",22 000 000 〒,366666.67
krisha.kz/a/show/694935678,1-комнатная квартира,30,"Сарыарка р-н, Молдагуловой",18 000 000 〒,600000.00
krisha.kz/a/show/694831341,1-комнатная квартира,37.6,"Сарыарка р-н, Ш.Косшыгулулы 13/5 — 10 поликлиника",12 700 000 〒,337765.96
krisha.kz/a/show/697871823,3-комнатная квартира,90,"Есильский р-н, Асфиндьярова 10",53 500 000 〒,594444.44
krisha.kz/a/show/681719330,3-комнатная квартира,87.6,"Есильский р-н, Санжар Асфендиярова 3 — ул. Сыганак",54 500 000 〒,622146.12
krisha.kz/a/show/697574971,3-комнатная квартира,98,"Есильский р-н, Мангилик Ел 54/1",53 000 000 〒,540816.33
krisha.kz/a/show/685040100,1-комнатная квартира,50.51,"Есильский р-н, Хусейн Бен Талал — 37",от 21 163 690 〒,419000.00
krisha.kz/a/show/691048355,1-комнатная квартира,41.3,"Нура р-н, Е-36 5",от 18 500 000 〒,447941.89
krisha.kz/a/show/698216669,4-комнатная квартира,120.78,"Нура р-н, Бухар жырау 57/6",от 55 075 680 〒,456000.00
krisha.kz/a/show/689864934,1-комнатная квартира,40.74,"Есильский р-н, Мангилик Ел 62",от 21 592 200 〒,530000.00
krisha.kz/a/show/680942304,2-комнатная квартира,71.17,"Нура р-н, Култегин 23",от 29 891 400 〒,420000.00
krisha.kz/a/show/698342854,2-комнатная квартира,40,"Есильский р-н, Туран 43/3",30 000 000 〒,750000.00
krisha.kz/a/show/679559055,1-комнатная квартира,31.28,"Алматы р-н, А102",от 7 500 000 〒,239769.82
krisha.kz/a/show/695697005,1-комнатная квартира,32.5,"Алматы р-н, Майлина 31 — Жұмабаева - Майлина",17 300 000 〒,532307.69
krisha.kz/a/show/696412868,2-комнатная квартира,65,"р-н Байконур, Сабира Рахимова 22",25 500 000 〒,392307.69
krisha.kz/a/show/697714174,2-комнатная квартира,65,"Есильский р-н, Бектурова 19 — Розы Баглановой",39 000 000 〒,600000.00
krisha.kz/a/show/697746367,2-комнатная квартира,70,"Нура р-н, Туран 39а",53 500 000 〒,764285.71
krisha.kz/a/show/696568797,2-комнатная квартира,55,"Алматы р-н, Момышулы 2/10 — Тауелсиздик",33 000 000 〒,600000.00
krisha.kz/a/show/694972393,2-комнатная квартира,70,"Есильский р-н, Достык 8/2",56 499 999 〒,807142.84
krisha.kz/a/show/691400977,1-комнатная квартира,35.3,"Алматы р-н, Кордай 75 — Айнаколь",15 500 000 〒,439093.48
krisha.kz/a/show/687284167,1-комнатная квартира,40,"Сарыарка р-н, Ы.Дукенулы 31/5 — Ч.Валиханова",14 300 000 〒,357500.00
krisha.kz/a/show/686231266,3-комнатная квартира,100.9,"Есильский р-н, Толе Би 40",51 500 000 〒,510406.34
krisha.kz/a/show/698215348,2-комнатная квартира,46.47,"Алматы р-н, Сагадат Нурмагамбетов 17",от 22 723 830 〒,489000.00
krisha.kz/a/show/698216663,3-комнатная квартира,77.99,"Нура р-н, Бухар жырау 57/6",от 38 839 020 〒,498000.00
krisha.kz/a/show/696934118,3-комнатная квартира,94.8,"Есильский р-н, Керей и Жанибек хандар 46 — проспект Альфараби",56 000 000 〒,590717.30
krisha.kz/a/show/696522357,1-комнатная квартира,38,"Алматы р-н, Байтурсынова — Нурмагамбетова",21 500 000 〒,565789.47
krisha.kz/a/show/693970503,3-комнатная квартира,100,"Есильский р-н, Кабанбай батыра 49A",57 500 000 〒,575000.00
krisha.kz/a/show/693672123,3-комнатная квартира,65,"Есильский р-н, Мангилик Ел 40",44 200 000 〒,680000.00
krisha.kz/a/show/689253230,2-комнатная квартира,59.03,"Нура р-н, Молдагалиева",от 24 200 000 〒,409961.04
krisha.kz/a/show/697279957,2-комнатная квартира,66,"Алматы р-н, Калдаякова",35 500 000 〒,537878.79
